paperIndex,AuthorIndex
9998,2188
9998,3417
9999,1913
9999,2781
9999,3303
10000,176
10000,949
10000,1432
10001,829
10001,3302
10466,3302
10001,3333
10001,3601
10001,922
10001,2006
10520,2006
10002,410
10265,410
10290,410
371161,410
1509148,410
10002,2236
370730,2236
371070,2236
10002,1246
10007,1246
10260,1246
10370,1246
370487,1246
370512,1246
370710,1246
370730,1246
370815,1246
371070,1246
371159,1246
10003,1119
10003,2873
370511,2873
370525,2873
370671,2873
370806,2873
370808,2873
370957,2873
370959,2873
371227,2873
371303,2873
1003241,2873
1003273,2873
1003296,2873
10003,875
370671,875
370808,875
370957,875
370959,875
1003273,875
1003296,875
1246284,875
1534477,875
10003,1156
10004,1745
10006,1745
10406,1745
370728,1745
10005,2481
370635,2481
10005,3008
370635,3008
1003279,3008
10006,3470
10006,3461
10007,3389
10265,3389
10279,3389
10290,3389
10297,3389
370512,3389
370684,3389
371181,3389
10007,1517
370487,1517
370512,1517
370710,1517
10008,2232
10008,1413
10008,1064
10076,1064
10080,1064
10213,1064
10221,1064
10272,1064
10318,1064
10353,1064
10373,1064
10569,1064
10631,1064
370636,1064
370787,1064
370792,1064
370832,1064
370951,1064
371009,1064
371148,1064
371220,1064
371223,1064
371243,1064
371252,1064
371302,1064
371337,1064
1003266,1064
1003267,1064
1003300,1064
1003315,1064
1233724,1064
1246186,1064
1246192,1064
1246274,1064
1246281,1064
1293092,1064
1293093,1064
1293095,1064
1293097,1064
1293100,1064
1293109,1064
1293115,1064
1293116,1064
1343607,1064
1509123,1064
1534519,1064
1619094,1064
10009,127
10009,2985
10010,1643
10284,1643
10010,260
10168,260
10010,3314
10011,526
10011,1263
10327,1263
10012,1090
10092,1090
10292,1090
370558,1090
370562,1090
370564,1090
371032,1090
371158,1090
371213,1090
1003239,1090
1003291,1090
1003292,1090
1246158,1090
1246177,1090
1293118,1090
1534502,1090
10012,3852
1003291,3852
10012,904
10013,1320
10013,2007
370552,2007
371048,2007
371088,2007
10013,445
10213,445
10013,2452
10013,168
10013,2755
10081,2755
10013,102
10298,102
10013,1011
1233771,1011
10014,2356
10602,2356
371033,2356
371268,2356
1003282,2356
1619091,2356
10014,2954
10594,2954
370572,2954
370989,2954
371033,2954
371100,2954
371146,2954
371315,2954
1003282,2954
1246214,2954
1246218,2954
1534487,2954
10014,3128
370572,3128
1534487,3128
10015,2324
10015,137
10016,3117
10248,3117
10289,3117
10323,3117
10412,3117
10419,3117
371248,3117
1233772,3117
1246159,3117
1509064,3117
1534451,3117
1534532,3117
10016,74
10036,74
10183,74
10185,74
10248,74
10289,74
10323,74
10419,74
371248,74
10017,1746
10017,291
10351,291
10017,2807
10351,2807
10017,3715
10018,1544
10018,262
10020,1023
370576,1023
10020,2654
10020,2778
370531,2778
10020,149
10020,2120
10020,2019
370576,2019
10020,1982
370576,1982
10021,3670
10021,2734
10166,2734
10306,2734
10340,2734
10467,2734
370583,2734
370614,2734
370627,2734
370670,2734
370672,2734
370750,2734
370851,2734
370875,2734
370877,2734
370990,2734
371235,2734
371241,2734
371322,2734
371324,2734
371336,2734
1003328,2734
1233751,2734
1246153,2734
1246191,2734
10021,265
10141,265
10221,265
10247,265
10263,265
10411,265
10568,265
10631,265
370787,265
370866,265
370926,265
371119,265
371165,265
371178,265
371199,265
1003267,265
1003293,265
1003315,265
1233724,265
1246231,265
1509069,265
1534454,265
10021,493
10022,1637
10452,1637
370881,1637
10022,3052
10244,3052
10366,3052
10579,3052
370881,3052
371342,3052
1233716,3052
10022,1444
370881,1444
1233713,1444
10022,593
10244,593
10366,593
10579,593
370881,593
371342,593
1233716,593
10022,3635
10244,3635
10366,3635
10579,3635
370881,3635
371342,3635
1233716,3635
10022,1588
10452,1588
10565,1588
370881,1588
1233713,1588
10023,702
10023,357
10023,3393
10123,3393
10023,118
10123,118
10023,1380
10123,1380
10023,2336
10023,2802
10023,2
10023,3847
10024,894
370602,894
10024,3766
370602,3766
10025,2293
10025,3527
10040,3527
10027,2549
10027,1505
10456,1505
10507,1505
371231,1505
1246228,1505
10027,1331
10456,1331
10507,1331
371231,1331
1246228,1331
1534509,1331
1534523,1331
10028,2365
10028,3369
10028,2793
10203,2793
1534511,2793
10028,1494
10029,3714
10031,3714
10034,3714
10037,3714
10104,3714
10106,3714
10223,3714
371297,3714
10029,2531
10031,2531
10029,1327
10031,1327
10104,1327
10106,1327
10223,1327
10029,3836
10030,3836
10031,3836
10032,3836
10034,3836
10037,3836
10046,3836
10128,3836
10144,3836
10195,3836
370773,3836
371297,3836
10030,2958
10032,2958
10034,2958
10043,2958
10183,2958
10220,2958
10289,2958
10341,2958
10412,2958
10416,2958
10419,2958
370757,2958
370759,2958
370763,2958
370938,2958
371003,2958
371102,2958
371123,2958
371169,2958
371248,2958
1233772,2958
1246159,2958
1509092,2958
1534451,2958
1534461,2958
10030,87
10032,87
10030,2943
10032,2943
10033,1841
10227,1841
370503,1841
1003321,1841
10034,2126
10231,2126
10034,239
10047,239
10101,239
10128,239
10363,239
10034,3144
10046,3144
10058,3144
10034,3453
10046,3453
10139,3453
10034,3300
10165,3300
371182,3300
10034,3003
10039,3003
10072,3003
10034,1630
10034,131
370876,131
370970,131
371312,131
10034,784
10034,1608
10035,2971
10161,2971
10293,2971
1233706,2971
10035,24
10161,24
10035,1361
10161,1361
10282,1361
10293,1361
10036,1035
10036,2548
10036,1213
10037,3270
10128,3270
10037,229
10621,229
371297,229
10038,1471
10038,280
10573,280
1246221,280
1509088,280
10038,918
10039,3408
10040,1953
10040,2686
10040,128
10040,1382
371321,1382
1233712,1382
1509097,1382
10041,1203
10041,1114
10389,1114
10042,3849
371062,3849
10042,1903
370856,1903
371062,1903
10043,2421
10043,1135
10043,2015
10044,1568
10044,121
10045,2112
10045,1736
10045,2917
10045,940
10046,2997
10046,2115
10046,914
10139,914
10285,914
10046,952
10139,952
10046,862
10047,3136
10047,3681
10048,2238
10048,2859
10174,2859
370679,2859
371240,2859
1003271,2859
10048,2681
10174,2681
371133,2681
1233776,2681
1509138,2681
1534448,2681
10048,3687
10049,468
10130,468
10049,432
10130,432
10049,2621
10130,2621
10049,1730
10130,1730
10049,483
10050,500
10050,1273
10050,2950
10623,2950
370507,2950
370586,2950
370765,2950
370838,2950
370950,2950
370997,2950
371061,2950
371063,2950
371197,2950
371221,2950
371309,2950
371311,2950
1246213,2950
1246245,2950
1246271,2950
1534484,2950
10052,3518
10052,1374
10052,981
10052,3078
10052,2922
10052,2918
10052,1612
10052,2325
10053,3814
10053,3547
10053,413
10053,911
10053,36
10054,2633
10054,1967
10054,2400
10054,2850
10055,677
10233,677
1509078,677
1509091,677
10055,3718
10233,3718
10055,2842
10233,2842
10055,183
10233,183
10056,202
10056,1833
10056,249
10056,1139
10057,3353
10058,3198
10059,2608
10059,3084
10060,2314
10060,1704
10061,2441
10061,1442
10061,3880
10061,2638
10061,648
10062,3240
10062,2003
10063,569
10063,3260
10063,2622
10063,2976
10063,2284
10064,1811
370536,1811
10064,3066
10064,2114
10157,2114
10064,1175
10064,2458
10157,2458
10065,2880
10318,2880
10433,2880
10524,2880
10566,2880
370720,2880
370768,2880
371025,2880
371126,2880
371254,2880
371342,2880
1003255,2880
1003294,2880
1003300,2880
1003326,2880
1246163,2880
1246266,2880
1534529,2880
1619095,2880
10065,3779
370720,3779
1003326,3779
10065,1166
1003326,1166
10065,194
10209,194
10254,194
10329,194
10402,194
10556,194
370720,194
370833,194
370969,194
370983,194
370999,194
1003255,194
1003290,194
1003297,194
1003326,194
1246262,194
1293102,194
1509065,194
10065,1125
370768,1125
371025,1125
1003294,1125
1003300,1125
1003326,1125
10065,2517
370720,2517
1003326,2517
10065,3516
370768,3516
1003294,3516
1003326,3516
10065,191
1003326,191
10065,2528
1003326,2528
10066,892
10066,828
10067,243
10067,2409
10067,2390
10068,2826
1246253,2826
10069,796
10071,1475
371269,1475
371320,1475
10071,1211
1534520,1211
10071,708
10251,708
10571,708
1003324,708
1509063,708
10072,3538
10072,3410
10073,252
10073,2637
10074,2745
10074,1757
10074,2055
10075,2819
10077,2819
10239,2819
10318,2819
370573,2819
370575,2819
370577,2819
371178,2819
371223,2819
10076,155
370636,155
371134,155
371337,155
1534519,155
10076,226
370636,226
10077,1180
10249,1180
10275,1180
10303,1180
10353,1180
10435,1180
10443,1180
370522,1180
370524,1180
370526,1180
371223,1180
10077,3271
370951,3271
371306,3271
10077,276
10176,276
10285,276
371075,276
371147,276
371223,276
10078,2964
10080,218
10252,218
370581,218
1293099,218
10080,3825
10252,3825
10080,1591
10080,2088
10080,2871
10080,86
370894,86
10081,2940
370534,2940
10082,3347
370591,3347
370603,3347
371310,3347
1619103,3347
10082,3386
370591,3386
370603,3386
1619103,3386
10082,80
370591,80
370603,80
1619103,80
10082,3147
370591,3147
370603,3147
1619103,3147
10082,3191
10083,1575
10083,3909
10083,2375
10083,300
10197,300
10085,2874
1003320,2874
10085,1497
1003320,1497
10085,2614
1003320,2614
10085,1451
1003320,1451
10085,295
1003320,295
10086,1843
10086,2059
10120,2059
10191,2059
10086,77
10087,3719
370626,3719
10088,773
10280,773
10088,32
10280,32
10088,125
10280,125
10089,1819
10109,1819
10089,2935
10089,3029
10109,3029
10090,436
10190,436
10320,436
10090,854
10273,854
10330,854
10431,854
10464,854
370521,854
370566,854
370643,854
370812,854
10091,1204
10091,2349
10092,1356
10491,1356
371224,1356
1509080,1356
10092,169
10092,3149
10159,3149
10093,3882
10093,717
10093,970
10094,1726
10094,254
10094,2285
10094,1801
10095,462
10095,1993
10095,955
10096,366
