index,title,abstract,year,mdate,key,page,volume,journal,number,ee,url
9998,A XML-based Description Language and Execution Environment for Orchestrating Grid Jobs.,"Grids are often used through simplified job submission interfaces that abstract the underlying grid infrastructure as a black box. These interfaces suit well to developers of simple grid applications requiring the coordination of grid jobs, for which monitoring and error handling are done more or less manually. However, developers of advanced grid applications such as grid portals need more flexible tools to develop efficient and robust applications with advanced capabilities such as monitoring, error handling, failure recovery, resource release, etc. In this paper, we present through a typical application example a XML-based language designed to describe applications orchestrating grid jobs. We also present the execution environment supporting the proposed language and we show how even simple grid applications can be expressed in this language and benefit of the advanced capabilities of the execution environment.",2005,,,,,IEEE SCC,,,
9999,Service-based Collaborative Workflow for DAME.,"The paper reports on research to design and implement a service-based, secure collaborative workflow system for Distributed Aircraft Maintenance Environment (DAME). This has been developed by the Universities of York, Sheffield, Oxford and Leeds, and industrial partners, Rolls-Royce and Data Systems and Solutions (DS&S). DAME is a prototype system to support aircraft engine maintenance and predictive services. It is an example of a virtual organisation with grid-based services running at the four universities sites. To meet the industrial requirements strong security is implemented to protect commercially sensitive services and data. Application services have been coordinated using the DAME workflow management system to automate business processes and control collaborative access. A dynamic workflow-team policy is used to authorise user access to workflow instances and corresponding service instances. The paper includes aspects of an initial evaluation with the industrial participants and illustrates the feasibility of using DAME in an industrial environment.",2005,,,,,IEEE SCC,,,
10000,Service-Oriented Agility: An initial analysis for the use of Agile methods for SOA development.,"Today, businesses have to respond with flexibility and speed to ever-changing customer demand, market opportunities and external threats. Service Oriented Architecture (SOA) is a special way to look a IT systems, focusing on their adaptability - the ability to respond to changing and new requirements. It is more than evident that agile approaches to software development seem to be a natural fit for developing such systems. In this article, we try to harden this evidence. We take a look on the fundamentals of agile software development and assess their suitability for SOA-based systems.",2005,,,,,IEEE SCC,,,
10001,Modeling and Monitoring Dynamic Dependency Environments.,,2005,,,,,IEEE SCC,,,
10002,Reckoning Legislative Compliances with Service Oriented Architecture A Proposed Approach.,"Recent accounting scandals involving firms such as such as Enron, Worldcom, Tyco etc. have resulted in the emergence of stringent regulations aimed at safeguarding the interest of enterprise stakeholders. Important regulations such as Sarbanes-Oxley Act (SOX), the US PATRIOT act in US and the International Accounting Standards (IAS) regulation in Europe have diverse and far reaching effects. Organizations are mandated to comply with these regulations by producing certain documents and reports during the audit. This calls for appropriate extensible document lifecycle management solutions involving integration and reconciliation of stored data from heterogeneous sources with quick detailing. This is because these regulations demand easy accessibility of data. While point solutions to document life cycle management exist, they are not cost effective. The paradigm of Service Oriented Architecture (SOA) which emphasizes software development based on well abstracted services has presented application development and adaptation a new dimension. SOA will enable flexible deployment of shared reusable compliance services thereby yielding malleable and cost effective compliance solutions. In this paper, we provide a logical SOA based approach for achieving compliance in enterprises and illustrate this approach for a typical compliance need.",2005,,,,,IEEE SCC,,,
10003,Constraint Driven Web Service Composition in METEOR-S.,"Creating Web processes using Web service technology gives us the opportunity for selecting new services which best suit our need at the moment. Doing this automatically would require us to quantify our criteria for selection. In addition, there are challenging issues of correctness and optimality. We present a Constraint Driven Web Service Composition tool in METEOR-S, which allows the process designers to bind Web Services to an abstract process, based on business and process constraints and generate an executable process. Our approach is to reduce much of the service composition problem to a constraint satisfaction problem. It uses a multi-phase approach for constraint analysis. This work was done as part of the METEOR-S framework, which aims to support the complete lifecycle of semantic Web processes.",2004,,,,,IEEE SCC,,,
10005,A Comparison of Alternative Web Service Allocation and Scheduling Policies.,"Web Services (WSs) are emerging as the building block of Internet scale database management systems (IDBMSs).These systems must intelligently execute plans that reference autonomous WSs.This requires policies and mechanisms for both scheduling and allocating WSs that constitute a plan.In this study, we analyze two scheduling strategies and four allocation policies.Obtained results show that dynamic scheduling with Least Response Time (LRT) allocation policy is superior to other alternatives when the service time of a WS can be estimated accurately.The traditional Least Recently Used (LRU) allocation policy is inferior to all policies including Random. These observations are important because they impact the scalability of a system.Only with a smart allocation policy, one should expect improved system performance by increasing the number of nodes that constitute an IDBMS to support a larger number of WS replicas.",2004,,,,,IEEE SCC,,,
10006,A Generalized Framework for Providing QoS Based Registry in Service Oriented Architecture.,"This paper provides a generalized approach for building a QoS Based Registry for Service Oriented Architecture. This framework enhances the current Universal Description, Discovery and Integration (UDDI) standard in order to achieve better search efficiency and improved quality of search based on user specified QoS parameters. The proposed model does not require any changes or modification to the current UDDI standard but provides a middleware repository that is used to store a valid subset of the UDDI data with QoS specifications. The proposed framework is expandable to include additional quality of service parameters depending on the application. The implementation of this framework illustrates the effectiveness of our proposed QoS based registry.",2005,,,,,IEEE SCC,,,
10007,Perspectives on Service Oriented Architecture.,"SOA and Web Services are the hottest topics of discussion currently with regards to enterprise architecture. The technologies are maturing from a standardization perspective and the level of understanding of various aspects of a SOA is gradually rising with an increasing number of clients thinking about service implementation and adoption. This trend has generated significant interest in IT and business circles alike, owing to the promise of bridging the gap between business strategists and IT architects. Service Oriented Architecture builds upon decades of distributed computing technologies and advocates the delivery of software applications in the form of an open interface based on strict contracts, leading to loosely coupled systems which are implementation independent. This tutorial will focus on providing an overview of service oriented architecture with emphasis on the evolution of SOA from other technologies such as object oriented programming and distributed computing. Subsequently, the tutorial will delve into exploring SOA from multiple perspectives, such as the relevance of SOA in EAI, SOA features of J2EE and .NET apart from illustrating specific recommendations on migrating to SOA based on some sample implementations.",2005,,,,,IEEE SCC,,,
10008,Progressive Auction Based Resource Allocation in Service-Oriented Architecture.,"The emerging paradigm of distributed Web services has promised seamless business integration across the Internet that shares not only computing power but also applications. One major challenge is resource allocation to each end user in an economically efficient and low latency manner. A common solution is proportional sharing where each user gets his resource in proportion to the predetermined weight. However, this does not allow users to differentiate the value of their services and to dynamically adjust the weights. A resource reservation mechanism may improve the information and service sharing but usually introduces a high latency. In this paper, we propose a progressive auction based market mechanism for resource allocation that allows user differentiation of the service value and ensures the resource acquisition latency to be limited only to the communication delay in Service-Oriented Architecture (SOA) systems. We present a service sharing prototype for selecting services for further business process composition or solution creation and show experimental results on the formation of reliable user ranking in resource sharing through the progressive auction.",2005,,,,,IEEE SCC,,,
