paperIndex,keywordIndex
9998,0
10027,0
10033,0
10130,0
10166,0
10612,0
10615,0
370503,0
370547,0
370564,0
370571,0
370639,0
370715,0
370721,0
370851,0
370928,0
370952,0
371003,0
371006,0
371052,0
371060,0
371072,0
371095,0
371131,0
371139,0
371174,0
371197,0
371242,0
371283,0
371322,0
371330,0
1003286,0
1003287,0
1003321,0
1233726,0
1246173,0
1246269,0
1534498,0
9998,1
10005,1
10016,1
10027,1
10039,1
10056,1
10093,1
10111,1
10121,1
10123,1
10125,1
10158,1
10170,1
10178,1
10179,1
10181,1
10182,1
10200,1
10225,1
10230,1
10274,1
10284,1
10297,1
10320,1
10324,1
10479,1
10540,1
10541,1
10569,1
10580,1
10584,1
10587,1
10592,1
10612,1
10618,1
10633,1
10636,1
370497,1
370519,1
370530,1
370542,1
370559,1
370560,1
370578,1
370601,1
370623,1
370676,1
370679,1
370719,1
370741,1
370752,1
370756,1
370779,1
370782,1
370796,1
370809,1
370849,1
370850,1
370852,1
370863,1
370864,1
370873,1
370898,1
370908,1
371021,1
371022,1
371040,1
371050,1
371051,1
371054,1
371059,1
371115,1
371152,1
371166,1
371180,1
371273,1
371274,1
371280,1
371283,1
371285,1
371293,1
371295,1
371299,1
371308,1
371325,1
371326,1
371333,1
1003264,1
1233707,1
1233709,1
1233711,1
1233717,1
1233727,1
1233728,1
1233749,1
1233755,1
1233757,1
1246151,1
1246179,1
1246181,1
1246199,1
1246202,1
1246210,1
1246212,1
1246213,1
1246235,1
1246239,1
1246243,1
1246254,1
1246260,1
1246262,1
1246277,1
1246281,1
1293094,1
1293096,1
1293104,1
1293112,1
1293123,1
1343602,1
1509056,1
1509062,1
1509077,1
1509079,1
1509086,1
1509089,1
1509098,1
1509117,1
1509131,1
1509140,1
1509150,1
1534463,1
1534486,1
1534493,1
1534500,1
1534510,1
1534515,1
1534518,1
1534521,1
1534545,1
1534546,1
9998,2
9999,2
10000,2
10002,2
10003,2
10004,2
10006,2
10007,2
10008,2
10009,2
10010,2
10012,2
10013,2
10015,2
10016,2
10020,2
10021,2
10022,2
10025,2
10027,2
10029,2
10030,2
10031,2
10032,2
10035,2
10037,2
10040,2
10043,2
10044,2
10045,2
10049,2
10055,2
10060,2
10061,2
10069,2
10074,2
10076,2
10080,2
10081,2
10082,2
10086,2
10088,2
10090,2
10091,2
10092,2
10093,2
10095,2
10096,2
10097,2
10099,2
10101,2
10105,2
10106,2
10107,2
10108,2
10110,2
10111,2
10112,2
10113,2
10114,2
10116,2
10117,2
10119,2
10120,2
10121,2
10123,2
10125,2
10126,2
10127,2
10128,2
10130,2
10134,2
10135,2
10136,2
10137,2
10139,2
10140,2
10143,2
10144,2
10145,2
10147,2
10148,2
10150,2
10152,2
10153,2
10156,2
10158,2
10159,2
10161,2
10164,2
10165,2
10169,2
10170,2
10171,2
10175,2
10179,2
10180,2
10182,2
10183,2
10186,2
10188,2
10189,2
10190,2
10191,2
10193,2
10195,2
10197,2
10198,2
10201,2
10206,2
10208,2
10209,2
10211,2
10215,2
10216,2
10218,2
10220,2
10225,2
10231,2
10233,2
10237,2
10242,2
10243,2
10244,2
10247,2
10248,2
10249,2
10253,2
10260,2
10261,2
10262,2
10263,2
10266,2
10267,2
10269,2
10270,2
10275,2
10280,2
10281,2
10282,2
10283,2
10284,2
10285,2
10286,2
10287,2
10288,2
10291,2
10293,2
10294,2
10295,2
10301,2
10302,2
10308,2
10314,2
10315,2
10317,2
10321,2
10322,2
10328,2
10330,2
10339,2
10341,2
10344,2
10345,2
10352,2
10361,2
10372,2
10374,2
10377,2
10383,2
10385,2
10397,2
10409,2
10410,2
10413,2
10416,2
10417,2
10424,2
10431,2
10441,2
10443,2
10463,2
10470,2
10472,2
10473,2
10478,2
10482,2
10483,2
10484,2
10488,2
10490,2
10513,2
10516,2
10517,2
10519,2
10520,2
10521,2
10523,2
10524,2
10525,2
10529,2
10533,2
10534,2
10538,2
10540,2
10542,2
10543,2
10544,2
10545,2
10546,2
10547,2
10549,2
10551,2
10554,2
10556,2
10558,2
10559,2
10563,2
10566,2
10567,2
10568,2
10569,2
10570,2
10573,2
10574,2
10576,2
10577,2
10579,2
10582,2
10583,2
10585,2
10586,2
10588,2
10589,2
10590,2
10592,2
10596,2
10597,2
10598,2
10599,2
10602,2
10607,2
10608,2
10610,2
10615,2
10621,2
10623,2
10624,2
10628,2
10630,2
10631,2
10632,2
10633,2
10634,2
10635,2
10637,2
10638,2
10639,2
370487,2
370491,2
370493,2
370494,2
370496,2
370497,2
370499,2
370500,2
370504,2
370505,2
370507,2
370519,2
370521,2
370525,2
370527,2
370530,2
370533,2
370536,2
370540,2
370541,2
370542,2
370546,2
370549,2
370552,2
370554,2
370555,2
370557,2
370562,2
370564,2
370566,2
370567,2
370569,2
370574,2
370576,2
370581,2
370586,2
370587,2
370591,2
370593,2
370597,2
370599,2
370600,2
370603,2
370606,2
370614,2
370619,2
370621,2
370622,2
370625,2
370632,2
370634,2
370639,2
370640,2
370645,2
370648,2
370650,2
370651,2
370652,2
370654,2
370655,2
370658,2
370667,2
370668,2
370670,2
370671,2
370672,2
370675,2
370676,2
370677,2
370683,2
370690,2
370692,2
370700,2
370702,2
370706,2
370709,2
370710,2
370713,2
370720,2
370722,2
370727,2
370731,2
370739,2
370742,2
370744,2
370751,2
370754,2
370759,2
370760,2
370761,2
370762,2
370763,2
370765,2
370766,2
370768,2
370769,2
370771,2
370773,2
370775,2
370777,2
370782,2
370784,2
370789,2
370791,2
370793,2
370795,2
370796,2
370797,2
370802,2
370804,2
370806,2
370811,2
370812,2
370815,2
370817,2
370818,2
370819,2
370820,2
370822,2
370828,2
370832,2
370834,2
370835,2
370838,2
370841,2
370843,2
370848,2
370852,2
370858,2
370862,2
370863,2
370864,2
370866,2
370868,2
370872,2
370874,2
370875,2
370876,2
370877,2
370881,2
370884,2
370886,2
370888,2
370896,2
370904,2
370910,2
370914,2
370918,2
370922,2
370925,2
370926,2
370931,2
370934,2
370936,2
370950,2
370951,2
370952,2
370957,2
370962,2
370976,2
370982,2
370984,2
370985,2
370986,2
371000,2
371003,2
371006,2
371014,2
371022,2
371023,2
371024,2
371026,2
371027,2
371029,2
371031,2
371032,2
371033,2
371034,2
371035,2
371038,2
371039,2
371040,2
371041,2
371044,2
371045,2
371046,2
371049,2
371050,2
371052,2
371055,2
371056,2
371057,2
371059,2
371060,2
371061,2
371063,2
371065,2
371068,2
371069,2
371070,2
371072,2
371073,2
371077,2
371079,2
371080,2
371081,2
371084,2
371085,2
371089,2
371095,2
371103,2
371104,2
371113,2
371118,2
371122,2
371123,2
371129,2
371131,2
371132,2
371138,2
371141,2
371150,2
371154,2
371157,2
371159,2
371160,2
371161,2
371162,2
371165,2
371166,2
371167,2
371168,2
371179,2
371180,2
371182,2
371184,2
371186,2
371187,2
371192,2
371194,2
371195,2
371196,2
371197,2
371202,2
371204,2
371210,2
371213,2
371215,2
371216,2
371232,2
371243,2
371245,2
371251,2
371262,2
371265,2
371268,2
371271,2
371273,2
371274,2
371275,2
371277,2
371278,2
371279,2
371280,2
371281,2
371282,2
371283,2
371285,2
371287,2
371288,2
371289,2
371290,2
371293,2
371294,2
371296,2
371297,2
371299,2
371300,2
371302,2
371303,2
371304,2
371305,2
371306,2
371309,2
371310,2
371311,2
371312,2
371313,2
371316,2
371317,2
371318,2
371319,2
371320,2
371321,2
371322,2
371323,2
371324,2
371326,2
371328,2
371329,2
371331,2
371334,2
371336,2
371337,2
371338,2
371339,2
371343,2
1003246,2
1003247,2
1003263,2
1003265,2
1003278,2
1003281,2
1003288,2
1003299,2
1003303,2
1003313,2
1003315,2
1003318,2
1003319,2
1003327,2
1224914,2
1224922,2
1233702,2
1233703,2
1233704,2
1233705,2
1233706,2
1233708,2
1233713,2
1233715,2
1233716,2
1233722,2
1233723,2
1233724,2
1233726,2
1233727,2
1233731,2
1233734,2
1233735,2
1233736,2
1233737,2
1233738,2
1233739,2
1233740,2
1233741,2
1233742,2
1233743,2
1233744,2
1233747,2
1233749,2
1233751,2
1233753,2
1233754,2
1233756,2
1233760,2
1233762,2
1233763,2
1233764,2
1233765,2
1233767,2
1233770,2
1233771,2
1233772,2
1233773,2
1233775,2
1246145,2
1246147,2
1246149,2
1246150,2
1246151,2
1246155,2
1246157,2
1246159,2
1246162,2
1246163,2
1246164,2
1246165,2
1246167,2
1246168,2
1246169,2
1246170,2
1246171,2
1246172,2
1246174,2
1246175,2
1246176,2
1246177,2
1246178,2
1246179,2
1246180,2
1246181,2
1246183,2
1246184,2
1246185,2
1246187,2
1246188,2
1246190,2
1246192,2
1246196,2
1246197,2
1246198,2
1246205,2
1246206,2
1246207,2
1246208,2
1246209,2
1246211,2
1246214,2
1246215,2
1246218,2
1246220,2
1246221,2
1246223,2
1246224,2
1246225,2
1246227,2
1246228,2
1246229,2
1246230,2
1246233,2
1246236,2
1246243,2
1246244,2
1246245,2
1246248,2
1246249,2
1246250,2
1246253,2
1246255,2
1246256,2
1246257,2
1246259,2
1246260,2
1246262,2
1246263,2
1246264,2
1246265,2
1246266,2
1246268,2
1246271,2
1246272,2
1246273,2
1246274,2
1246275,2
1246276,2
1246278,2
1246281,2
1246282,2
1246283,2
1246285,2
1246286,2
1246287,2
1293085,2
1293087,2
1293089,2
1293091,2
1293096,2
1293101,2
1293102,2
1293103,2
1293107,2
1293108,2
1293110,2
1293111,2
1293112,2
1293114,2
1293119,2
1293120,2
1293121,2
1293122,2
1293124,2
1293125,2
1343603,2
1343605,2
1343606,2
1343608,2
1509057,2
1509058,2
1509062,2
1509066,2
1509068,2
1509069,2
1509070,2
1509071,2
1509073,2
1509074,2
1509076,2
1509078,2
1509080,2
1509081,2
1509082,2
1509084,2
1509093,2
1509094,2
1509098,2
1509099,2
1509101,2
1509102,2
1509104,2
1509105,2
1509107,2
1509108,2
1509109,2
1509111,2
1509113,2
1509114,2
1509117,2
1509118,2
1509120,2
1509122,2
1509124,2
1509125,2
1509130,2
1509132,2
1509134,2
1509139,2
1509142,2
1509143,2
1509144,2
1509146,2
1509147,2
1509149,2
1509152,2
1534448,2
1534450,2
1534453,2
1534454,2
1534456,2
1534458,2
1534462,2
1534463,2
1534469,2
1534473,2
1534474,2
1534475,2
1534477,2
1534478,2
1534480,2
1534481,2
1534482,2
1534484,2
1534485,2
1534488,2
1534489,2
1534490,2
1534491,2
1534492,2
1534493,2
1534494,2
1534496,2
1534498,2
1534499,2
1534501,2
1534503,2
1534504,2
1534505,2
1534506,2
1534507,2
1534509,2
1534511,2
1534513,2
1534514,2
1534515,2
1534516,2
1534517,2
1534518,2
1534522,2
1534527,2
1534531,2
1534532,2
1534538,2
1534539,2
1534541,2
1534543,2
1534546,2
1534549,2
1619090,2
1619091,2
1619093,2
1619100,2
1619103,2
1619105,2
9998,3
10117,3
10138,3
10153,3
10170,3
10171,3
10201,3
10325,3
10392,3
10559,3
370580,3
370681,3
370694,3
370700,3
370744,3
370762,3
370768,3
370799,3
370871,3
371020,3
371152,3
371199,3
371204,3
371205,3
371232,3
371251,3
1003246,3
1003250,3
1003319,3
1224917,3
1233768,3
1246236,3
1343608,3
1509133,3
9998,4
10017,4
10117,4
10130,4
10160,4
10170,4
10171,4
10176,4
10188,4
10189,4
10202,4
10261,4
10285,4
10379,4
10436,4
10487,4
10553,4
10560,4
10572,4
10612,4
10616,4
10622,4
370489,4
370491,4
370506,4
370517,4
370559,4
370566,4
370580,4
370609,4
370611,4
370647,4
370679,4
370694,4
370713,4
370719,4
370771,4
370782,4
370799,4
370850,4
370853,4
370871,4
370874,4
370884,4
370926,4
370983,4
371032,4
371071,4
371114,4
371152,4
371164,4
371169,4
371185,4
371186,4
371238,4
371274,4
371292,4
371301,4
1003262,4
1003290,4
1224917,4
1233729,4
1233767,4
1233774,4
1246152,4
1246197,4
1509086,4
1509099,4
1509133,4
1509140,4
1534525,4
9998,5
10011,5
10015,5
10043,5
10048,5
10062,5
10074,5
10091,5
10092,5
10093,5
10096,5
10100,5
10111,5
10157,5
10159,5
10171,5
10182,5
10195,5
10201,5
10215,5
10222,5
10226,5
10246,5
10257,5
10267,5
10278,5
10282,5
10288,5
10289,5
10293,5
10468,5
10484,5
10488,5
10516,5
10517,5
10524,5
10532,5
10544,5
10558,5
10564,5
10571,5
10581,5
10593,5
10614,5
370504,5
370507,5
370535,5
370597,5
370615,5
370648,5
370679,5
370685,5
370696,5
370702,5
370709,5
370720,5
370727,5
370733,5
370739,5
370741,5
370758,5
370759,5
370767,5
370792,5
